Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)"
parsley,1.9,35.0,kosher salt,1.8220628351357175,1.8220628351357175,,,,,,,,,,,,,,,,,,,beef stew meat,75.59872833333334,151.19745666666668,,,,mandarin oranges,28.3,28.3,cream cheese,18.899682083333335,18.899682083333335,,,,,,,,,,salt,3.0,3.0,,,,Spanish onion,37.5,37.5,Chicken,56.69904625,56.69904625,Rice Noodles,76.0,76.0,basmati rice,46.25,123.33333333333333,gochujang,11.458333333333332,11.458333333333332,cooked pinto bean,42.5242846875,42.5242846875,salsa verde,30.00000000050721,30.00000000050721,,,,,,,grape seed oil,6.8,6.8,,,,,,,meat,56.69904625,56.69904625,dry white wine,29.4,29.4,greek yogurt,37.5,37.5,vegetable oil,49.77777777861937,56.00000000094679,Shallots,2.5,2.5,halibut,102.0,102.0,,,,,,,,,,,,,,,,chili peppers,19.0625,19.0625,,,,pineapple,16.666666666666668,16.666666666666668,walnuts,3.3333333333333335,3.3333333333333335,,,,,,,lemon juice,1.2708333333977915,1.2708333333977915,,,,,,,,,,,,,tomato purée,63.40129256595563,63.40129256595563,,,,,,,leek,22.25,22.25,vinegar,1.2416666666666667,1.2416666666666667,,,,Leek,11.125,11.125,,,,Chicken Breasts,43.5,43.5,,,,,,,green bell pepper,41.0,41.0,chicken stock,30.0,76.08155107914675,basmati rice,13.88888888888889,30.0,,,,,,,,,,Coconut Cream,22.5,22.5,,,,,,,cauliflower,73.5,89.62962962962962,shallots,60.0,60.0,peanut butter,48.375,48.375,chicken or vegetable stock,90.0,90.0,,,,,,,rice,62.5,85.3125,,,,mango,31.5,84.0,,,,,,,ground chicken,56.69904625,113.3980925,,,,,,,red curry paste,6.0,6.0,"Onions, spring or scallions (includes tops and bulb), raw",3.0,3.0,,,,,,,green onion tops,3.0,3.0,,,
Garlic,1.25,30.0,black pepper,1.7319781428255208,1.7319781428255208,,,,,,,,,,,,,,,,,,,Cremini Mushrooms,75.59872833333334,75.59872833333334,,,,salad leaves,27.5,27.5,basil,18.75,18.75,,,,,,,,,,soy sauce,2.65,8.0,,,,zucchini,32.666666666666664,32.666666666666664,Chicken stock,56.69904625,56.69904625,shitake mushrooms,70.8738078125,70.8738078125,Onions,41.666666666666664,41.666666666666664,white vinegar,11.175,11.175,kidney bean,42.5242846875,49.611665468750004,Shrimp,28.349523125,28.349523125,,,,,,,lime juice,5.1333333332465445,5.1333333332465445,,,,,,,chicken thighs,56.69904625,56.69904625,kraft single,26.25,26.25,vegetable oil,37.333333333964525,224.00000000378716,couscous,43.25,43.25,light brown sugar,1.875,1.875,unsweetened coconut milk,95.679640546875,95.679640546875,,,,,,,,,,,,,,,,chicken broth,15.0,18.0,,,,rice noodles,16.1997275,16.1997275,honey,3.15,3.15,,,,,,,salt,0.75,0.75,,,,,,,,,,,,,Water,59.147059125,59.147059125,,,,,,,bean sprouts,20.0,20.0,chilli sauce,1.1999999999188462,1.1999999999188462,,,,soup mix,10.75,12.5,,,,ground pork,37.79936416666667,37.79936416666667,,,,,,,Red Onions,40.0,40.0,capsicum,29.75,41.0,onion,13.88888888888889,20.833333333333332,,,,,,,,,,rice vermicelli noodles,20.833333333333332,20.833333333333332,,,,,,,Potatoes,71.42857142857143,170.09713875,bell peppers,59.5,59.5,light coconut milk,42.525000000000006,42.525000000000006,fennel,78.0,78.0,,,,,,,monkfish,62.5,62.5,,,,green bell pepper,29.072222222222223,29.072222222222223,,,,,,,trout,56.69904625,56.69904625,,,,,,,green onions,4.629629629629631,27.777777777777782,kosher salt,2.4270833334564377,2.4270833334564377,,,,,,,caster sugar,2.999999999949275,2.999999999949275,,,
parsely,1.235,1.235,chilli,1.1718750000594387,1.1718750000594387,,,,,,,,,,,,,,,,,,,Wide Egg Noodles,75.59872833333334,75.59872833333334,,,,yellow onion,26.666666666666668,26.666666666666668,onion,17.5,27.5,,,,,,,,,,Coriander,2.408528654485288,2.408528654485288,,,,Red Onion,31.25,31.25,corn muffin mix,56.69904625,56.69904625,red chilies,67.5,67.5,red pepper,41.0,41.0,low-sodium soy sauce,10.649999999999999,21.25,cooked black bean,42.5242846875,42.5242846875,Crabmeat,28.349523125,28.349523125,,,,,,,mushrooms,5.0,5.0,,,,,,,mushrooms,56.69904625,56.69904625,tomatoes,24.6,24.6,Greek yogurt,36.0,36.0,pineapple,41.25,41.25,cumin seeds,1.5,1.5,chicken or vegetable stock,90.0,90.0,,,,,,,,,,,,,,,,red bell pepper,14.875,37.25,,,,snow pea,15.625,15.625,dried currants,2.4,2.4,,,,,,,turmeric,0.375,0.375,,,,,,,,,,,,,mozzarella cheese,56.69904625,56.69904625,,,,,,,fish sauce,18.0,18.0,light soy sauce,1.1833333333333333,1.1833333333333333,,,,Vegetable oil,7.0,7.0,,,,limes,33.5,33.5,,,,,,,"Brown Rice, Cooked",39.0,39.0,bacon,29.0,50.0,peanut oil,13.5,13.5,,,,,,,,,,baguette,20.0,20.0,,,,,,,limes,67.0,67.0,soba,56.69904625,56.69904625,shiitake mushrooms,42.5242846875,42.5242846875,shrimp,75.59872833333334,75.59872833333334,,,,,,,Red Bell pepper,59.5,59.5,,,,lemons,26.25,26.25,,,,,,,chile peppers,56.25,56.25,,,,,,,fish sauce,4.5,13.5,olive oil,1.6875,1.6875,,,,,,,mint leaves,2.85,2.85,,,
sea salt,1.2135416667282188,1.2135416667282188,fresh ginger,1.0,3.75,,,,,,,,,,,,,,,,,,,boneless chuck roast,75.59872833333334,124.73790175000002,,,,Cooked basmati rice,25.0,25.0,water,14.78676478125,14.78676478125,,,,,,,,,,Chinese cabbage,1.75,1.75,,,,Plain Yogurt,30.625,30.625,Yukon gold potato,56.69904625,56.69904625,broccoli,62.916666666666664,62.916666666666664,Plain Yogurt,40.833333333333336,40.833333333333336,fresh orange juice,10.333333333333334,10.333333333333334,beef,41.666666666666664,125.0,cheddar cheese,28.25,28.25,,,,,,,almond butter,4.0,4.0,,,,,,,chanterelle,56.69904625,56.69904625,green bell peppers,23.8,23.8,dried chickpeas,33.074443645833334,50.0,Tilapia,37.79936416666666,37.79936416666666,cassia,1.3,1.3,cod,85.048569375,85.048569375,,,,,,,,,,,,,,,,peanut,14.6,14.6,,,,Bean sprouts,14.1747615625,14.1747615625,pine nuts,2.25,3.75,,,,,,,cumin seeds,0.2625,0.2625,,,,,,,,,,,,,Brown Rice Pasta,56.69904625,56.69904625,,,,,,,catsup,17.0,17.0,sugar,1.0416666666490584,1.0416666666490584,,,,shiitake mushrooms,5.5,5.5,,,,asparagus,33.5,33.5,,,,,,,Vegetable,35.984848484848484,35.984848484848484,chicken legs,28.666666666666668,28.666666666666668,celery,13.333333333333334,13.333333333333334,,,,,,,,,,zuchinni,16.333333333333332,16.333333333333332,,,,,,,mixed vegetable,66.14888729166667,66.14888729166667,linguine,56.69904625,56.69904625,chicken stock,40.0,90.0,tofu,75.59872833333334,75.59872833333334,,,,,,,green Bell pepper,58.144444444444446,58.144444444444446,,,,sweet potato,26.0,26.0,,,,,,,pineapple,56.166666666666664,56.166666666666664,,,,,,,peanut oil,4.5,4.5,vegetable oil,1.5367575,1.5367575,,,,,,,fish sauce,2.7,15.21631021608661,,,
garlic,1.125,7.5,fenugreek,0.925,0.925,,,,,,,,,,,,,,,,,,,diced tomatoes,75.59872833333334,75.59872833333334,,,,Champagne vinegar,23.8,23.8,bacon,14.5,56.69904625,,,,,,,,,,garlic,1.5,2.25,,,,Half & half,30.25,30.25,Sweet Onions,53.333333333333336,53.333333333333336,red onion,62.5,62.5,Heavy Cream,39.666666666666664,39.666666666666664,mango,10.3125,30.9375,hard apple cider,34.01942775,34.01942775,lettuce,27.5,27.5,,,,,,,shallot,2.5,2.5,,,,,,,portobello,56.69904625,56.69904625,ground pork,23.624602604166668,23.624602604166668,plum tomatoes,31.0,31.0,flour,37.5,37.5,garlic,1.25,9.922333093750002,fennel,78.0,78.0,,,,,,,,,,,,,,,,green bell pepper,14.536111111111111,14.536111111111111,,,,shredded coconut,14.166666666666666,14.166666666666666,water,2.21801471715,2.21801471715,,,,,,,Mustard seeds,0.25,0.25,,,,,,,,,,,,,penne,56.69904625,56.69904625,,,,,,,ketchup,17.0,17.0,palm sugar,0.755208333320565,0.755208333320565,,,,baby carrots,5.0,5.0,,,,sweet potato,32.5,32.5,,,,,,,cashews,35.0,35.0,chicken thigh,28.349523125,75.0,galangal,12.0,12.0,,,,,,,,,,Peanut Butter,16.125,16.125,,,,,,,ground turkey,56.69904625,113.3980925,cooked chicken,52.5,70.0,roasted red peppers,36.5,36.5,beefsteak tomatoes,74.5,74.5,,,,,,,white Onion,55.0,55.0,,,,onion,25.0,40.0,,,,,,,shelled edamame,51.666666666666664,51.666666666666664,,,,,,,lime juice,3.849999999934908,20.82943798433529,white pepper,0.8999999999999999,0.8999999999999999,,,,,,,garlic,2.25,3.0,,,
coconut oil,1.125,1.125,salt,0.9150375,3.4639562856510415,,,,,,,,,,,,,,,,,,,water,73.93382390625,500.0,,,,green chilies,22.5,22.5,applewood-smoked bacon,14.125,14.125,,,,,,,,,,sesame oil,0.5625,1.5,,,,Red Bell Pepper,29.75,29.75,cream of chicken soup,53.155355859375,148.25,basmati rice,61.666666666666664,61.666666666666664,yoghurt,38.83329169664782,38.83329169664782,miso,9.916666666666666,15.277777777777777,red kidney beans,33.25,46.0,white onion,27.5,27.5,,,,,,,mirin,2.0785714285362857,2.0785714285362857,,,,,,,ham hock,56.625,56.625,flour,23.4375,28.645833333333332,grape tomatoes,30.75,30.75,sour pickle,37.05555555555556,37.05555555555556,salt,1.2,1.5,shrimp,75.59872833333334,113.3980925,,,,,,,,,,,,,,,,cashews,14.0,14.0,,,,bamboo shoot,14.0625,14.0625,Olive oil,2.0024402543575524,2.0024402543575524,,,,,,,mustard seeds,0.25,0.25,,,,,,,,,,,,,Cheese,51.43793095985142,51.43793095985142,,,,,,,carrots,15.99999999972948,15.99999999972948,ground turmeric,0.75,0.75,,,,Tomato paste,4.093749999930775,4.093749999930775,,,,carrots,30.5,61.0,,,,,,,ham,28.35,75.60000000000001,pork belly,28.349523125,28.349523125,broccoli,11.375,11.375,,,,,,,,,,red onion,15.625,15.625,,,,,,,cheese,56.5,56.5,yellow bell pepper,46.5,46.5,sesame,36.0,36.0,mushrooms,70.0,70.0,,,,,,,green Beans,50.0,50.0,,,,Greek Yoghurt,24.0,24.0,,,,,,,cooked jasmine rice,50.5,404.0,,,,,,,thai basil,3.0,3.0,salt,0.375,0.66564375,,,,,,,galangal,2.2,2.2,,,
Red chili flakes,0.9,0.9,curry leaves,0.8999999999999999,1.7999999999999998,,,,,,,,,,,,,,,,,,,onion soup,71.75000000000001,71.75000000000001,,,,lemon,21.0,21.0,guanciale,12.402916367187501,56.69904625,,,,,,,,,,five spice powder,0.2375,0.2375,,,,red pepper,29.75,29.75,corn,52.75,53.155355859375,radishes,60.0,60.0,cucumber,37.625,37.625,hoisin sauce,8.000000000135255,8.000000000135255,low sodium tomato juice,33.074443645833334,33.074443645833334,corn tortillas,26.666666666666668,340.19427750000006,,,,,,,Cilantro,2.061829748213329,2.061829748213329,,,,,,,duck,56.5,623.6895087500001,chicken,23.333333333333332,23.333333333333332,plain yogurt,28.349523125,61.25,potato chips,35.43690390625,50.0,curry leaves,1.05,1.05,turkey,75.59872833333334,75.59872833333334,,,,,,,,,,,,,,,,corn oil,13.6,13.6,,,,Water,13.143790916666665,289.16340016666663,tomato paste,1.819444444413678,1.819444444413678,,,,,,,cilantro,0.24999999999577324,0.24999999999577324,,,,,,,,,,,,,water,49.289215937499996,59.147059125,,,,,,,carrot,15.25,30.5,salt,0.718473713365882,0.718473713365882,,,,anchovies,3.3333333333333335,3.3333333333333335,,,,frozen edamame,29.5,29.5,,,,,,,Carrots,20.333333333333332,20.333333333333332,spinach,25.0,25.0,red chillies,11.25,18.0,,,,,,,,,,sour cream,14.1747615625,14.1747615625,,,,,,,potatoes,53.25,150.0,half-and-half,45.375,45.375,coconut milk,35.31250000000001,95.679640546875,avocados,67.0,67.0,,,,,,,brown basmati rice,46.25,46.25,,,,capsicum,23.8,23.8,,,,,,,"jasmine rice, cooked",50.5,50.5,,,,,,,coriander leaves,2.6666666666666665,4.052944444446837,Cooking Spray,0.25,0.25,,,,,,,Lime,2.09375,2.09375,,,
crushed red pepper,0.45,0.675,ginger powder,0.8666666666666667,0.8666666666666667,,,,,,,,,,,,,,,,,,,tomato purée,63.40129256595563,63.40129256595563,,,,radicchio,20.0,20.0,Parmesan cheese,12.3921875,55.764843750000004,,,,,,,,,,Steamed white rice,0.0,0.0,,,,sweet red pepper,29.75,29.75,Half and Half,50.416666666666664,50.416666666666664,Shrimp,56.69904625,56.69904625,diced tomatoes,34.25567377604167,34.25567377604167,yellow onion,7.8125,7.8125,jack cheese,33.0,33.0,Avocado,25.125,25.125,,,,,,,black pepper,1.9413129738802084,1.9413129738802084,,,,,,,coconut milk,56.5,102.767021328125,cream cheese,22.6796185,22.6796185,canned chickpeas,25.333333333333332,25.333333333333332,artichoke hearts,32.2,32.2,oil,0.9,0.9,tofu,75.59872833333334,75.59872833333334,,,,,,,,,,,,,,,,scallions,10.416666666666668,13.888888888888891,,,,bean,12.5,12.5,panko breadcrumbs,1.6666666666666667,1.6666666666666667,,,,,,,Hing,0.13020833349844085,0.13020833349844085,,,,,,,,,,,,,snap peas,49.0,49.0,,,,,,,ham,14.0,14.0,black pepper,0.5750000000000001,0.5750000000000001,,,,barley,2.8749999999513927,30.666666666666668,,,,white onion,28.75,28.75,,,,,,,Frozen Peas,20.1,44.666666666666664,yellow noodles,25.0,150.0,red chili,11.25,11.25,,,,,,,,,,plain yogurt,12.25,12.25,,,,,,,frozen pea,50.0,50.0,hot dogs,45.0,45.0,frozen peas,33.5,33.5,shallots,59.111111111111114,59.111111111111114,,,,,,,sausage,37.79936416666667,37.79936416666667,,,,yellow bell pepper,23.25,23.25,,,,,,,Cooked brown rice,50.0,50.0,,,,,,,lemon grass,2.5,50.0,garlic powder,0.19375,0.19375,,,,,,,coriander leaves,2.0,2.0,,,
black pepper,0.3625,0.754573965,ground turmeric,0.75,0.75,,,,,,,,,,,,,,,,,,,bok choy,57.0,57.0,,,,red pepper,18.5,18.5,flour,11.160714285714286,11.160714285714286,,,,,,,,,,,,,,,,red bell peppers,29.75,59.5,roast turkey,50.0,50.0,Chicken Stock,55.5471527777548,105.0,Cooked basmati rice,33.333333333333336,33.333333333333336,bird chile,7.5,7.5,tomato,30.75,30.75,eggs,21.5,21.5,,,,,,,olive oil,1.9285714285714286,2.25,,,,,,,shiitake mushroom,56.0,56.0,Cheddar cheese,22.0,22.0,cucumber,25.083333333333332,60.0,half-and-half,30.25,30.25,curry powder,0.75,0.75,beefsteak tomatoes,74.5,74.5,,,,,,,,,,,,,,,,coconut oil,10.2,10.2,,,,rice noodle,12.5,12.5,champagne vinegar,1.49,1.49,,,,,,,Cardamom,0.125,0.125,,,,,,,,,,,,,marinara sauce,46.067975078125,46.067975078125,,,,,,,green onions,10.416666666666668,55.555555555555564,sesame oil,0.375,0.375,,,,vegetable oil,2.8,2.8,,,,shiitake mushrooms,28.349523125,28.349523125,,,,,,,bell pepper,19.833333333333332,19.833333333333332,pork mince,25.0,25.0,prawn,11.11111111111111,11.11111111111111,,,,,,,,,,roasted red bell pepper,12.166666666666666,12.166666666666666,,,,,,,parsnips,49.875,49.875,hot dog buns,44.0,44.0,low-salt chicken broth,30.0,30.0,spinach,56.69904625,56.69904625,,,,,,,arborio rice,37.5,50.0,,,,green chiles,22.5,22.5,,,,,,,peanut butter,48.375,48.375,,,,,,,Salt,2.431766666668102,2.431766666668102,"Salt, table",0.1901041669077235,0.1901041669077235,,,,,,,sugar,1.8749999999683051,1.8749999999683051,,,
Salt,0.3165,0.741,brown mustard seeds,0.5,0.5,,,,,,,,,,,,,,,,,,,Fried Onions,56.80000000096031,56.80000000096031,,,,red onion,17.5,17.5,Egg,10.75,21.5,,,,,,,,,,,,,,,,green pepper,29.072222222222223,29.75,red wine,49.70661337170921,49.70661337170921,chicken breasts,54.4,113.3980925,coconut milk,31.893213515625003,84.75,sausage,7.08738078125,7.08738078125,beer,29.7,29.7,apple juice,20.666666666666668,20.666666666666668,,,,,,,fresh ginger,1.875,1.875,,,,,,,Cooked basmati rice,50.0,50.0,piecrusts,19.083333333333332,19.083333333333332,corn flour,25.0,25.0,cod,28.875,231.0,fish sauce,0.6000000000405769,7.5,mushrooms,70.0,70.0,,,,,,,,,,,,,,,,tamari,9.0,9.0,,,,mung bean sprouts,12.149795625,12.149795625,pomegranate molasses,1.053124999982195,1.1701388888691056,,,,,,,Methi,0.11562500014857034,0.11562500014857034,,,,,,,,,,,,,can chicken meat,46.067975078124995,46.067975078124995,,,,,,,soy sauce,8.0,16.0,chicken stock powder,0.2161458333442965,0.2161458333442965,,,,kombu,2.5,2.5,,,,rice noodles,28.349523125,113.3980925,,,,,,,red bell pepper,19.833333333333332,41.0,chili pepper,22.5,22.5,egg,10.75,10.75,,,,,,,,,,sesame,12.0,12.0,,,,,,,ground beef,37.79936416666667,113.3980925,shiitake mushrooms,42.5242846875,42.5242846875,mirin,29.1,29.1,rice vermicelli,56.69904625,75.59872833333334,,,,,,,Onion,31.25,31.25,,,,pomegranate,21.75,21.75,,,,,,,coconut milk,47.76230706635323,99.22333093750001,,,,,,,fresh ginger,2.2,30.0,pepper,0.090625,0.332821875,,,,,,,black pepper,1.725,1.725,,,
pepper,0.2598773984999883,0.3705,mustard seeds,0.5,0.5,,,,,,,,,,,,,,,,,,,ground turkey,56.69904625,56.69904625,,,,Naan,17.0,17.0,dough,9.449841041666668,9.449841041666668,,,,,,,,,,,,,,,,mayonnaise,28.875,28.875,chicken broth,49.611665468750004,70.0,chorizo,49.611665468750004,49.611665468750004,chicken broth,30.0,30.0,green onions,6.9444444444444455,6.9444444444444455,red wine,29.530753255208335,29.530753255208335,green bell pepper,19.833333333333332,19.833333333333332,,,,,,,jalapeno pepper,1.75,1.75,,,,,,,Fuji apple,49.28888888888889,49.28888888888889,lemon,16.8,16.8,pita breads,23.0,46.0,corn flour,28.5,28.5,palm sugar,0.6,0.6,avocados,67.0,67.0,,,,,,,,,,,,,,,,oyster sauce,9.0,9.0,,,,red chillies,11.25,45.0,extra virgin olive oil,0.9,0.9,,,,,,,Turmeric,0.09791666679248301,0.09791666679248301,,,,,,,,,,,,,stew meat,45.359237,45.359237,,,,,,,cooking spray,5.5204740661999985,5.5204740661999985,pepper,0.06041666666666667,0.06041666666666667,,,,peppercorns,2.2834297375,2.2834297375,,,,tofu,28.349523125,28.349523125,,,,,,,eggs,18.75,30.0,mung bean noodles,20.0,20.0,rice noodles,10.6875,226.796185,,,,,,,,,,Chile pepper,11.25,11.25,,,,,,,green peas,36.25,36.25,sour cream,37.79936416666667,37.79936416666667,iceberg lettuce,28.5,28.5,Spanish onions,56.25,56.25,,,,,,,Tomato,30.75,30.75,,,,zuchinni,19.6,19.6,,,,,,,pear,46.611111111111114,46.611111111111114,,,,,,,serrano chilies,2.033333333333333,2.033333333333333,ground ginger,0.028125,0.028125,,,,,,,ginger,1.5,1.5,,,
salt,0.1901041669077235,1.50914793,cumin seeds,0.2625,1.5,,,,,,,,,,,,,,,,,,,frozen mixed vegetables,56.69904625,56.69904625,,,,hard-boiled eggs,16.666666666666668,16.666666666666668,pecorino cheese,9.428571428571429,9.428571428571429,,,,,,,,,,,,,,,,Extra Virgin Olive Oil,27.0,27.0,green beans,49.611665468750004,49.611665468750004,pear,46.611111111111114,46.611111111111114,light coconut milk,28.35,42.525000000000006,onion,6.875,8.75,diced tomatoes,29.29444444444444,109.85440210937502,dry white wine,19.599999999999998,19.599999999999998,,,,,,,green onion,1.7361111111111114,1.7361111111111114,,,,,,,oil,46.714285714285715,46.714285714285715,white onion,15.0,15.0,whole-wheat pitas,23.0,23.0,butter,28.375,28.375,nutmeg,0.5,0.5,water,59.147059125,236.5882365,,,,,,,,,,,,,,,,cooking oil,8.75,8.75,,,,lime,11.166666666666666,11.166666666666666,ground pepper,0.7882911524997924,0.7882911524997924,,,,,,,asafetida,0.06510416674922043,0.06510416674922043,,,,,,,,,,,,,eggs,43.0,43.0,,,,,,,kecap,4.0,4.0,curry leaves,0.049999999999999996,0.049999999999999996,,,,beef bouillon cubes,1.8,1.8,,,,Rice Noodles,28.3125,28.3125,,,,,,,frozen corn,17.0,17.0,cucumber,18.8125,150.5,green chilie,10.0,10.0,,,,,,,,,,lemon,10.5,21.0,,,,,,,Lamb mince,35.714285714285715,35.714285714285715,mushrooms,37.79936416666667,37.79936416666667,chicken thigh,28.349523125,28.349523125,snap peas,49.0,49.0,,,,,,,roasted red peppers,30.71198338541667,30.71198338541667,,,,full fat Greek yogurt,17.9999999996957,17.9999999996957,,,,,,,eggs,43.0,43.0,,,,,,,brown sugar,1.5,1.5,brown rice,0.0,0.0,,,,,,,fresh basil,1.5,1.5,,,
